City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
Monrovia,75,LR,2019-09-11,94,6.33,-10.8,77.0,7.61
Port Lincoln,92,AU,2019-09-11,59,-34.72,135.86,61.62,20.09
Georgetown,20,GY,2019-09-11,94,6.8,-58.16,77.0,2.24
Sao Filipe,100,CV,2019-09-11,83,14.9,-24.5,79.08,16.75
Aykhal,90,RU,2019-09-11,66,65.95,111.51,51.8,8.95
Talcahuano,0,CL,2019-09-11,100,-36.72,-73.12,46.4,2.24
Sechura,0,PE,2019-09-11,86,-5.56,-80.82,61.62,13.29
Lagoa,0,PT,2019-09-11,42,37.14,-8.45,68.0,14.99
Mpika,97,ZM,2019-09-11,38,-11.84,31.4,60.72,5.68
Shchelkun,0,RU,2019-09-11,87,56.3,60.95,48.2,4.47
Kalach-na-Donu,0,RU,2019-09-11,62,48.69,43.52,59.0,13.42
Broken Hill,0,AU,2019-09-11,18,-31.97,141.45,68.0,6.93
Gambela,100,ET,2019-09-11,76,8.25,34.59,66.3,3.53
Dali,100,CN,2019-09-11,87,34.79,109.94,67.38,10.98
Kirakira,100,SB,2019-09-11,88,-10.46,161.92,79.26,19.15
Inirida,46,CO,2019-09-11,95,3.87,-67.92,73.32,1.5
Clyde River,90,CA,2019-09-11,93,70.47,-68.59,35.6,8.05
Dondo,20,MZ,2019-09-11,67,-19.62,34.74,62.6,2.24
Khatanga,100,RU,2019-09-11,80,71.98,102.47,39.12,8.93
Atuona,76,PF,2019-09-11,73,-9.8,-139.03,79.8,16.42
Hualmay,48,PE,2019-09-11,89,-11.1,-77.61,60.54,16.89
Baracoa,100,CU,2019-09-11,77,20.35,-74.5,81.24,3.62
Caucasia,100,CO,2019-09-11,92,7.98,-75.2,77.82,7.45
Launceston,9,AU,2019-09-11,63,-41.43,147.14,60.8,23.04
Saint-Joseph,40,FR,2019-09-11,87,43.56,6.97,68.0,5.82
Lebyazhye,0,RU,2019-09-11,87,59.96,29.42,61.0,8.95
Kyrylivka,0,UA,2019-09-11,44,47.65,37.3,57.48,7.67
Saint-Georges,100,CA,2019-09-11,95,46.12,-70.67,55.99,4.83
Vicosa do Ceara,11,BR,2019-09-11,55,-3.56,-41.09,70.98,3.56
Araouane,78,ML,2019-09-11,25,18.9,-3.53,94.92,7.99
San Patricio,100,PY,2019-09-11,76,-26.98,-56.83,64.32,5.19
Laguna,90,BZ,2019-09-11,94,16.17,-88.94,77.0,3.31
Waitati,90,NZ,2019-09-11,60,-45.75,170.57,51.01,10.0
Santa Cruz de la Palma,90,ES,2019-09-11,73,28.68,-17.76,73.4,18.34
Dingle,100,PH,2019-09-11,67,11.0,122.67,83.58,4.7
Grindavik,100,IS,2019-09-11,90,63.84,-22.43,48.12,15.68
Kavieng,99,PG,2019-09-11,78,-2.57,150.8,81.24,20.22
Muscat,98,OM,2019-09-11,83,23.6,58.55,82.4,2.24
Port Macquarie,40,AU,2019-09-11,42,-31.43,152.91,68.0,5.82
Airai,61,TL,2019-09-11,37,-8.93,125.41,83.58,2.21
Katsuura,75,JP,2019-09-11,66,33.93,134.5,91.4,12.75
Vila Velha,75,BR,2019-09-11,69,-3.71,-38.6,80.6,14.99
Karratha,33,AU,2019-09-11,9,-20.74,116.85,95.28,19.22
Rawson,6,AR,2019-09-11,83,-43.3,-65.11,37.68,5.06
Mount Kisco,20,US,2019-09-11,88,41.2,-73.73,71.6,5.82
Mar del Plata,0,AR,2019-09-11,52,-46.43,-67.52,39.84,7.61
Tessalit,57,ML,2019-09-11,19,20.2,1.01,94.92,8.34
Constantine,75,DZ,2019-09-11,93,36.36,6.61,60.8,2.24
Irece,63,BR,2019-09-11,92,-11.3,-41.86,63.6,9.08
Iralaya,0,HN,2019-09-11,94,15.0,-83.23,77.28,1.66
San Cristobal,0,HN,2019-09-11,85,14.68,-86.92,69.18,7.56
Mopipi,0,BW,2019-09-11,12,-21.2,24.86,55.5,2.98
Chicama,0,PE,2019-09-11,87,-7.84,-79.15,60.8,10.29
Ambilobe,0,MG,2019-09-11,82,-13.19,49.05,64.86,7.4
Linxia,0,CN,2019-09-11,58,35.6,103.21,67.56,4.07
Hobart,0,AU,2019-09-11,26,-42.88,147.33,69.8,20.8
Lewistown,1,US,2019-09-11,94,40.39,-90.15,79.0,3.36
Atambua,90,ID,2019-09-11,58,-9.11,124.89,77.28,10.04
Mildura,0,AU,2019-09-11,24,-34.18,142.16,71.01,9.17
Kingseat,75,GB,2019-09-11,93,56.1,-3.41,61.0,23.04
Saint Anthony,40,US,2019-09-11,93,43.97,-111.68,51.8,4.7
Faanui,56,PF,2019-09-11,80,-16.48,-151.75,77.64,11.56
Atasu,40,KZ,2019-09-11,79,48.68,71.64,52.26,4.85
Dudinka,75,RU,2019-09-11,100,69.41,86.18,28.4,17.9
Puerto Ayora,62,EC,2019-09-11,89,-0.74,-90.35,66.99,3.0
Lashio,100,MM,2019-09-11,99,22.93,97.75,70.8,0.22
Rovaniemi,75,FI,2019-09-11,93,66.5,25.72,55.4,4.7
Torbay,40,CA,2019-09-11,93,47.66,-52.73,53.01,10.29
Goderich,100,CA,2019-09-11,88,43.74,-81.71,69.01,17.2
Zhezkazgan,0,KZ,2019-09-11,87,47.8,67.71,51.8,4.47
Yellowknife,20,CA,2019-09-11,76,62.45,-114.38,48.2,8.05
Petauke,2,ZM,2019-09-11,28,-14.25,31.33,60.36,3.6
Los Aquijes,90,PE,2019-09-11,82,-14.1,-75.69,60.8,14.99
Lebu,90,ET,2019-09-11,93,8.96,38.73,55.4,4.7
Smithers,75,CA,2019-09-11,71,54.78,-127.17,57.2,2.24
Bonthe,100,SL,2019-09-11,94,7.53,-12.5,74.76,6.91
Fallon,90,US,2019-09-11,93,46.84,-105.12,57.2,5.82
Sitka,0,US,2019-09-11,64,37.17,-99.65,79.0,14.0
Brae,100,GB,2019-09-11,93,60.4,-1.35,55.4,25.28
Victoria,75,BN,2019-09-11,70,5.28,115.24,89.6,1.12
Pearl Lagoon,4,NI,2019-09-11,97,12.34,-83.67,75.84,3.44
Kandrian,100,PG,2019-09-11,66,-6.21,149.55,77.1,11.97
Canto do Buriti,62,BR,2019-09-11,48,-8.11,-42.94,76.2,7.61
Carnarvon,0,ZA,2019-09-11,54,-30.97,22.13,51.9,10.54
Yumen,36,CN,2019-09-11,37,40.29,97.04,71.7,12.68
Sorland,75,NO,2019-09-11,93,67.67,12.69,55.4,2.24
Kutum,100,SD,2019-09-11,69,14.2,24.66,73.5,2.17
Smithfield,1,US,2019-09-11,100,41.92,-71.55,66.2,4.7
Mayumba,100,GA,2019-09-11,89,-3.44,10.65,73.68,10.2
Ust-Ilimsk,98,RU,2019-09-11,83,57.96,102.73,53.52,8.55
Shenjiamen,0,CN,2019-09-11,72,29.96,122.3,81.6,2.42
Erenhot,100,CN,2019-09-11,50,43.65,111.97,71.16,20.47
Andalan,93,PH,2019-09-11,52,5.96,121.39,86.82,7.16
Verkhoyansk,4,RU,2019-09-11,47,67.55,133.39,49.2,8.08
Carahue,0,CL,2019-09-11,70,-38.71,-73.16,44.6,8.05
Hervey Bay,40,AU,2019-09-11,40,-25.3,152.85,75.99,17.22
Port Elizabeth,1,US,2019-09-11,88,39.31,-74.98,73.4,3.36
Geraldton,90,CA,2019-09-11,93,49.72,-86.95,44.6,11.41
Ancud,0,CL,2019-09-11,86,-41.87,-73.83,33.8,4.7
Kiama,0,AU,2019-09-11,32,-34.67,150.86,66.2,8.05
Dhidhdhoo,100,MV,2019-09-11,78,6.88,73.1,83.22,13.11
Flagstaff,1,US,2019-09-11,51,35.2,-111.65,64.99,10.29
Bakonycsernye,0,HU,2019-09-11,93,47.32,18.09,48.2,3.36
Oparino,37,RU,2019-09-11,92,59.85,48.28,49.38,5.32
North Bend,1,US,2019-09-11,93,43.41,-124.22,63.0,4.7
Sambava,0,MG,2019-09-11,88,-14.27,50.17,61.26,3.4
Mindelo,0,PT,2019-09-11,81,41.31,-8.72,57.99,6.93
Bowen,1,AU,2019-09-11,44,-20.01,148.25,75.99,17.22
Camara de Lobos,40,PT,2019-09-11,60,32.63,-16.97,71.6,10.29
Mwense,37,ZM,2019-09-11,44,-10.39,28.7,62.34,2.57
Puerto Escondido,100,MX,2019-09-11,83,15.86,-97.07,78.72,3.18
Enid,1,US,2019-09-11,65,36.4,-97.88,80.6,11.41
Revda,11,RU,2019-09-11,95,67.94,34.55,45.78,4.99
Port Keats,95,AU,2019-09-11,20,-14.25,129.55,86.1,13.85
Menongue,0,AO,2019-09-11,24,-14.66,17.68,48.84,5.21
Tuatapere,99,NZ,2019-09-11,73,-46.13,167.69,50.0,10.0
Los Llanos de Aridane,90,ES,2019-09-11,73,28.66,-17.92,73.4,18.34
Comodoro Rivadavia,0,AR,2019-09-11,64,-45.87,-67.48,37.4,3.36
Vangaindrano,36,MG,2019-09-11,93,-23.35,47.6,62.52,3.62
Faya,0,SA,2019-09-11,77,18.39,42.45,64.4,3.02
Serebryansk,98,KZ,2019-09-11,68,49.68,83.3,51.9,4.97
Seymchan,0,RU,2019-09-11,47,62.93,152.39,42.36,20.89
Usolye,100,RU,2019-09-11,92,59.42,56.68,48.3,3.0
Axim,74,GH,2019-09-11,93,4.87,-2.24,75.12,8.77
Ust-Barguzin,100,RU,2019-09-11,91,53.41,109.03,50.46,1.36
Awjilah,0,LY,2019-09-11,38,29.14,21.3,79.08,7.58
Salinopolis,0,BR,2019-09-11,82,-0.61,-47.36,81.06,17.07
Pevek,100,RU,2019-09-11,82,69.7,170.27,44.52,5.28
Kerrobert,90,CA,2019-09-11,93,51.92,-109.14,48.2,9.17
Perth,75,AU,2019-09-11,60,-31.95,115.86,75.0,10.29
Arraial do Cabo,100,BR,2019-09-11,90,-22.97,-42.02,69.54,15.12
Sao Joao da Barra,63,BR,2019-09-11,95,-21.64,-41.05,67.38,1.28
Karwar,31,IN,2019-09-11,87,14.8,74.13,80.34,5.66
Namatanai,87,PG,2019-09-11,74,-3.66,152.44,79.08,19.75
Kieta,100,PG,2019-09-11,72,-6.22,155.63,81.78,5.75
Kilindoni,29,TZ,2019-09-11,78,-7.91,39.67,76.92,6.53
Camacha,75,PT,2019-09-11,77,33.08,-16.33,71.6,13.87
Bogale,100,MM,2019-09-11,89,16.29,95.4,78.36,10.54
Hamilton,75,CA,2019-09-11,78,43.26,-79.87,78.01,11.41
Rome,0,IT,2019-09-11,77,41.89,12.48,68.0,5.82
Saldanha,33,PT,2019-09-11,72,41.42,-6.55,49.74,3.29
Maldonado,0,UY,2019-09-11,81,-34.91,-54.96,50.82,7.92
Yako,72,BF,2019-09-11,83,12.96,-2.26,76.2,5.5
Jacareacanga,95,BR,2019-09-11,49,-6.22,-57.76,79.8,2.19
Alta Floresta,70,BR,2019-09-11,35,-9.87,-56.08,77.28,2.33
Sept-Iles,100,CA,2019-09-11,90,50.2,-66.38,50.0,4.68
Egvekinot,100,RU,2019-09-11,70,66.32,-179.17,47.22,2.55
Batu,54,ID,2019-09-11,30,-7.87,112.53,86.64,5.28
Beyneu,95,KZ,2019-09-11,35,45.32,55.19,63.96,4.27
Norman Wells,75,CA,2019-09-11,45,65.28,-126.83,66.2,8.05
Prince Rupert,90,CA,2019-09-11,87,54.32,-130.32,59.0,2.39
Taoudenni,73,ML,2019-09-11,19,22.68,-3.98,96.18,10.51
Aberdeen,20,US,2019-09-11,82,46.98,-123.82,62.6,6.93
Itarema,0,BR,2019-09-11,80,-2.92,-39.92,74.94,9.08
Rock Springs,20,US,2019-09-11,57,41.59,-109.2,51.8,9.17
Buala,100,SB,2019-09-11,77,-8.15,159.59,82.5,9.71
Souillac,0,FR,2019-09-11,81,45.6,-0.6,55.99,10.78
Lomovka,0,RU,2019-09-11,100,53.92,58.37,44.6,4.47
Upernavik,100,GL,2019-09-11,93,72.79,-56.15,34.62,17.67
Bathsheba,20,BB,2019-09-11,74,13.22,-59.52,82.4,10.29
Privas,19,FR,2019-09-11,59,44.74,4.6,64.4,14.99
Vardo,1,US,2019-09-11,88,39.62,-77.74,73.99,6.93
Mareeba,90,AU,2019-09-11,41,-16.99,145.42,79.0,24.16
Maslovare,59,BA,2019-09-11,100,44.56,17.53,51.8,2.48
Paamiut,94,GL,2019-09-11,86,61.99,-49.67,40.56,12.55
Surt,0,LY,2019-09-11,73,31.21,16.59,81.24,18.5
Szczytno,0,PL,2019-09-11,86,53.57,20.99,50.82,6.38
Augusto Correa,0,BR,2019-09-11,97,-1.02,-46.63,73.5,2.73
Nemuro,75,JP,2019-09-11,77,43.32,145.57,64.4,6.93
Acapulco,40,MX,2019-09-11,78,16.86,-99.88,82.4,6.93
Placido de Castro,35,BR,2019-09-11,64,-10.34,-67.19,79.62,2.71
Dauphin,90,CA,2019-09-11,100,51.15,-100.04,53.6,8.05
Marsh Harbour,6,BS,2019-09-11,77,26.54,-77.06,82.32,20.18
Hasaki,75,JP,2019-09-11,79,35.73,140.83,91.0,6.93
Saint-Augustin,90,CA,2019-09-11,100,45.63,-73.98,61.0,3.36
Xuddur,3,SO,2019-09-11,83,4.12,43.89,70.26,15.7
Cabedelo,20,BR,2019-09-11,94,-6.97,-34.84,71.6,5.82
Olinda,0,AU,2019-09-11,52,-37.84,145.39,72.0,17.22
Ilulissat,97,GL,2019-09-11,80,69.22,-51.1,35.6,10.29
Las Palmas,0,CO,2019-09-11,88,9.27,-75.33,78.9,5.66
Broome,100,GB,2019-09-11,82,52.47,1.45,59.0,11.41
Nowa Deba,0,PL,2019-09-11,93,50.43,21.75,52.0,2.24
Taunggyi,100,MM,2019-09-11,97,20.78,97.03,68.28,6.87
Samarai,43,PG,2019-09-11,61,-10.62,150.67,75.84,10.92
Tucuman,90,PE,2019-09-11,41,-17.17,-70.89,50.64,2.57
Naze,100,NG,2019-09-11,95,5.43,7.07,73.14,4.12
Lorengau,100,PG,2019-09-11,64,-2.02,147.27,82.32,15.05
Povenets,83,RU,2019-09-11,98,62.85,34.83,54.24,5.46
Powell River,20,CA,2019-09-11,77,49.84,-124.52,64.99,2.24
Glens Falls,90,US,2019-09-11,88,43.31,-73.64,72.0,5.82
Sinazongwe,37,ZM,2019-09-11,18,-17.26,27.46,58.02,3.85
Bella Union,98,CO,2019-09-11,94,8.5,-73.35,69.72,4.85
Bayir,0,TR,2019-09-11,88,37.27,28.22,64.0,0.83
Kristianstad,100,SE,2019-09-11,93,56.03,14.16,59.0,11.41
Celestun,84,MX,2019-09-11,78,20.87,-90.4,83.76,20.74
Severo-Kurilsk,40,RU,2019-09-11,89,50.68,156.12,49.74,23.69
Merauke,36,ID,2019-09-11,73,-8.49,140.4,75.48,24.36
Yacuiba,90,AR,2019-09-11,88,-22.01,-63.68,62.6,5.82
Black River,20,JM,2019-09-11,74,18.03,-77.85,84.2,3.36
Colac,0,AU,2019-09-11,67,-38.34,143.59,66.99,4.0
Sesheke,0,NA,2019-09-11,33,-17.47,24.29,46.4,4.7
Vitim,0,RU,2019-09-11,54,59.44,112.57,59.28,9.28
Ahuimanu,20,US,2019-09-11,62,21.44,-157.84,87.8,14.99
Lavrentiya,100,RU,2019-09-11,97,65.58,-170.99,45.78,4.09
Hargeysa,74,SO,2019-09-11,65,9.56,44.06,69.36,23.58
Gien,95,FR,2019-09-11,79,47.69,2.63,50.0,3.02
Viedma,95,AR,2019-09-11,76,-40.81,-62.99,40.56,5.44
Choix,100,MX,2019-09-11,86,26.71,-108.33,70.62,2.06
Kjollefjord,75,NO,2019-09-11,76,70.95,27.35,57.2,4.7
Lucea,20,JM,2019-09-11,74,18.44,-78.17,84.2,3.36
Nome,1,US,2019-09-11,83,30.04,-94.42,84.99,5.82
High Level,5,CA,2019-09-11,54,58.52,-117.13,53.6,8.05
Poya,72,NC,2019-09-11,75,-21.35,165.16,68.28,17.6
Labuhan,92,ID,2019-09-11,29,-2.54,115.51,93.12,2.37
Chibuto,61,MZ,2019-09-11,96,-24.69,33.53,63.42,3.89
Cabra,15,ES,2019-09-11,39,37.47,-4.43,66.2,6.93
Berlevag,75,NO,2019-09-11,76,70.86,29.09,57.2,4.7
Muzhi,93,RU,2019-09-11,76,65.4,64.7,43.8,10.54
Shubarkuduk,0,KZ,2019-09-11,66,49.15,56.49,56.4,11.32
Saint George,40,GR,2019-09-11,59,39.45,22.34,66.2,6.93
Copiapo,0,CL,2019-09-11,76,-27.37,-70.33,53.6,4.7
Sergeyevka,76,KZ,2019-09-11,85,53.88,67.42,50.1,10.6
Asosa,100,ET,2019-09-11,80,10.07,34.53,65.22,3.02
Gull Lake,90,CA,2019-09-11,100,50.1,-108.48,48.2,14.99
Talnakh,75,RU,2019-09-11,100,69.49,88.39,28.4,17.9
Dinan,0,FR,2019-09-11,93,48.45,-2.05,54.0,5.82
Ukiah,1,US,2019-09-11,59,39.15,-123.21,69.01,11.41
Sindang,0,ID,2019-09-11,27,-6.83,108.32,88.26,3.2
Kahului,40,US,2019-09-11,58,20.89,-156.47,86.0,20.8
Chapais,90,CA,2019-09-11,93,49.78,-74.86,46.4,8.05
Omsukchan,100,RU,2019-09-11,90,62.53,155.8,34.8,9.13
Semey,75,KZ,2019-09-11,82,50.41,80.25,55.4,13.42
Khorinsk,100,RU,2019-09-11,77,52.16,109.78,54.24,4.7
Boone,1,US,2019-09-11,100,36.22,-81.67,75.99,2.91
Maragogi,2,BR,2019-09-11,94,-9.01,-35.22,68.64,0.69
Yerbogachen,38,RU,2019-09-11,62,61.28,108.01,56.76,7.58
Keti Bandar,57,PK,2019-09-11,81,24.14,67.45,82.5,10.25
Bethel,90,US,2019-09-11,76,60.79,-161.76,55.4,11.41
Santa Rosa,100,AR,2019-09-11,91,-36.62,-64.29,45.24,9.62
Rosetta,0,EG,2019-09-11,69,31.4,30.42,78.18,13.98
Tynda,58,RU,2019-09-11,63,55.15,124.74,54.78,6.73
Whakatane,0,NZ,2019-09-11,56,-37.96,176.99,64.99,3.0
Homer,40,US,2019-09-11,87,59.64,-151.54,57.0,6.93
Kathmandu,20,NP,2019-09-11,78,27.71,85.32,77.0,4.7
Traiguen,0,CL,2019-09-11,94,-38.25,-72.68,39.3,2.57
Meulaboh,100,ID,2019-09-11,79,4.14,96.13,79.8,6.89
Sulangan,100,PH,2019-09-11,69,11.14,123.72,85.2,14.38
Canela,43,BR,2019-09-11,73,-29.36,-50.81,63.0,3.0
Beitbridge,0,ZA,2019-09-11,45,-22.21,29.99,57.48,6.08
Ngong,75,KE,2019-09-11,93,-1.37,36.65,59.0,3.42
Cherskiy,100,RU,2019-09-11,87,68.75,161.3,37.86,15.82
Pisco,90,PE,2019-09-11,82,-13.71,-76.2,60.8,14.99
Codrington,40,AU,2019-09-11,40,-28.95,153.24,69.8,14.99
Portobelo,40,PA,2019-09-11,83,9.55,-79.65,80.6,6.93
Port-Cartier,90,CA,2019-09-11,93,50.03,-66.88,50.0,4.23
Dunedin,90,NZ,2019-09-11,60,-45.87,170.5,51.01,10.0
Mataram,13,ID,2019-09-11,39,-5.32,105.06,87.9,4.03
Iqaluit,75,CA,2019-09-11,86,63.75,-68.52,39.2,3.36
Bull Savanna,100,JM,2019-09-11,76,17.89,-77.59,81.96,5.1
Fairview,75,CA,2019-09-11,71,56.07,-118.38,51.8,8.05
Raahe,90,FI,2019-09-11,93,64.68,24.47,59.0,10.29
Iranshahr,0,IR,2019-09-11,14,27.21,60.69,87.8,6.29
Mogadishu,75,SO,2019-09-11,73,2.04,45.34,77.0,11.41
Anapskaya,0,RU,2019-09-11,55,44.9,37.38,60.8,15.66
Jawala Mukhi,0,IN,2019-09-11,69,31.88,76.32,83.22,5.08
Mehamn,75,NO,2019-09-11,76,71.03,27.85,57.2,4.7
Evanston,1,US,2019-09-11,88,42.04,-87.69,81.0,5.95
Havoysund,0,NO,2019-09-11,81,71.0,24.66,51.8,6.93
Avera,1,US,2019-09-11,83,33.19,-82.53,78.8,1.01
Bluefield,1,US,2019-09-11,100,37.27,-81.22,75.2,1.83
Arrifes,20,PT,2019-09-11,82,37.77,-25.7,68.0,3.36
Xining,96,CN,2019-09-11,59,36.62,101.77,60.54,7.49
Sochi,40,RU,2019-09-11,72,43.6,39.73,64.4,13.42
Tamworth,0,AU,2019-09-11,30,-31.09,150.93,70.0,4.7
South Venice,1,US,2019-09-11,78,27.05,-82.42,82.0,8.05
Marsa Matruh,0,EG,2019-09-11,83,31.35,27.25,73.4,4.7
Nelson,93,CA,2019-09-11,85,49.49,-117.29,57.99,3.44
